CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,TRADED_VAL
FUTSTKBERGEPAINT24-FEB-2022,723.4500000,726.4000000,736.9000000,723.3000000,734.4500000,734.4500000,1.5200000,3983.0000000,935000.0000000,850.0000000,683897665.0000000
FUTSTKBERGEPAINT31-MAR-2022,726.5500000,733.0000000,739.0500000,727.7000000,737.5500000,737.5500000,1.5100000,105.0000000,24200.0000000,22.0000000,17775560.0000000
FUTSTKNAM-INDIA28-APR-2022,347.0000000,343.4000000,343.4000000,343.4000000,343.4000000,343.4000000,-1.0300000,1.0000000,1600.0000000,1.0000000,549440.0000000
FUTSTKNAM-INDIA24-FEB-2022,342.6500000,344.0500000,350.3500000,337.1000000,343.3000000,343.3000000,0.1800000,1624.0000000,1080000.0000000,675.0000000,370376320.0000000
FUTSTKAUROPHARMA24-FEB-2022,636.3500000,637.2000000,658.2500000,637.0000000,656.8000000,656.8000000,3.2100000,20047.0000000,2496750.0000000,3329.0000000,1619393475.0000000
FUTSTKAUROPHARMA28-APR-2022,640.8500000,0.0000000,0.0000000,0.0000000,,664.0500000,3.6200000,5.0000000,0.0000000,0.0000000,0.0000000
FUTSTKOFSS24-FEB-2022,3525.4000000,3535.1500000,3599.0000000,3518.2500000,3583.9500000,3583.9500000,1.6600000,4431.0000000,157875.0000000,1263.0000000,562127837.5000000
FUTSTKACC24-FEB-2022,2284.3000000,2298.0000000,2358.4500000,2274.0000000,2340.5000000,2340.5000000,2.4600000,10267.0000000,1473750.0000000,5895.0000000,3422813450.0000000
FUTSTKACC28-APR-2022,2308.6500000,0.0000000,0.0000000,0.0000000,,2355.8500000,2.0400000,0.0000000,0.0000000,0.0000000,0.0000000
FUTSTKPIDILITIND28-APR-2022,2475.3500000,2490.9000000,2498.1000000,2489.5000000,2498.1000000,2498.1000000,0.9100000,7.0000000,1000.0000000,4.0000000,2494150.0000000
FUTSTKDIXON31-MAR-2022,4422.4000000,4447.1500000,4545.6000000,4400.0000000,4426.1500000,4426.1500000,0.0800000,360.0000000,29000.0000000,232.0000000,129491862.5000000
FUTSTKHAL31-MAR-2022,1435.4000000,1446.1500000,1463.0000000,1411.7500000,1437.6500000,1437.6500000,0.1500000,104.0000000,43700.0000000,92.0000000,63048151.2500000
FUTSTKATUL31-MAR-2022,9543.1500000,9480.0500000,9845.6500000,9460.0000000,9836.1500000,9836.1500000,3.0700000,27.0000000,900.0000000,12.0000000,8664701.2500000
FUTSTKDIVISLAB24-FEB-2022,4049.6500000,4086.1000000,4135.0000000,4042.3000000,4115.9000000,4115.9000000,1.6300000,27771.0000000,510800.0000000,5108.0000000,2090296920.0000000
FUTSTKBHARATFORG24-FEB-2022,738.2000000,741.1000000,752.7000000,733.6500000,749.2000000,749.2000000,1.4900000,7341.0000000,1723500.0000000,2298.0000000,1285282912.5000000
FUTSTKHAL28-APR-2022,1458.2500000,1455.0000000,1455.0000000,1438.1500000,1438.1500000,1456.1500000,-0.1400000,14.0000000,950.0000000,2.0000000,1374246.2500000
FUTSTKBHARATFORG28-APR-2022,742.4000000,754.0500000,758.4500000,750.5500000,758.4500000,758.4500000,2.1600000,6.0000000,6750.0000000,9.0000000,5096212.5000000
FUTSTKCOALINDIA24-FEB-2022,160.3500000,161.4500000,163.4500000,158.5000000,163.2500000,163.2500000,1.8000000,8951.0000000,12776400.0000000,3042.0000000,2061016020.0000000
FUTSTKCOALINDIA28-APR-2022,159.7000000,161.0000000,163.3500000,159.8000000,163.0500000,163.0500000,2.0900000,21.0000000,67200.0000000,16.0000000,10843140.0000000
FUTSTKGLENMARK28-APR-2022,491.4500000,500.0000000,500.0000000,500.0000000,500.0000000,499.4000000,1.6100000,1.0000000,1150.0000000,1.0000000,575000.0000000
FUTSTKESCORTS31-MAR-2022,1837.4500000,1835.0000000,1849.2000000,1830.0000000,1835.9500000,1835.9500000,-0.0800000,294.0000000,69300.0000000,126.0000000,127348512.5000000
FUTSTKAXISBANK24-FEB-2022,775.1000000,779.3000000,794.9000000,770.7500000,782.3500000,782.3500000,0.9300000,36641.0000000,21884400.0000000,18237.0000000,17192214000.0000000
FUTSTKSYNGENE24-FEB-2022,571.7500000,573.9000000,581.7500000,569.7500000,579.9000000,579.9000000,1.4200000,1277.0000000,367200.0000000,432.0000000,211362785.0000000
FUTSTKMINDTREE24-FEB-2022,4012.6000000,4124.9500000,4124.9500000,3935.0500000,4000.0500000,4000.0500000,-0.3100000,13554.0000000,1251800.0000000,6259.0000000,5012243260.0000000
FUTSTKHEROMOTOCO31-MAR-2022,2666.6500000,2684.7500000,2714.0000000,2640.4000000,2669.3000000,2669.3000000,0.0900000,642.0000000,39300.0000000,131.0000000,105345870.0000000
FUTSTKSAIL24-FEB-2022,97.6500000,98.5000000,103.5000000,97.4000000,102.6000000,102.6000000,5.0600000,35200.0000000,71782000.0000000,15112.0000000,7204021237.5000000
